0.000,0.828,0.828
500.000,0.803,0.803
1000.000,0.835,0.835
1500.000,0.821,0.821
2000.000,0.843,0.843
2500.000,0.813,0.822
3000.000,0.826,0.834
3500.000,0.830,0.841
4000.000,0.811,0.824
4500.000,0.809,0.808
5000.000,0.846,0.846
5500.000,0.829,0.825
6000.000,0.847,0.844
6500.000,0.828,0.823
7000.000,0.841,0.829
7500.000,0.814,0.822
8000.000,0.823,0.831
8500.000,0.839,0.845
9000.000,0.847,0.846
9500.000,0.816,0.808
10000.000,0.814,0.824
10500.000,0.833,0.837
11000.000,0.825,0.828
11500.000,0.822,0.821
12000.000,0.841,0.836
12500.000,0.815,0.814
13000.000,0.814,0.807
13500.000,0.834,0.832
14000.000,0.833,0.827
14500.000,0.830,0.822
15000.000,0.801,0.820
15500.000,0.819,0.827
16000.000,0.823,0.828
16500.000,0.836,0.831
17000.000,0.826,0.832
17500.000,0.812,0.829
18000.000,0.834,0.824
18500.000,0.846,0.835
19000.000,0.827,0.821
19500.000,0.666,0.664
20000.000,0.667,0.682
20500.000,0.722,0.744
21000.000,0.711,0.716
21500.000,0.740,0.751
22000.000,0.752,0.767
22500.000,0.766,0.719
23000.000,0.770,0.765
23500.000,0.770,0.768
24000.000,0.784,0.789
24500.000,0.794,0.798
25000.000,0.752,0.763
25500.000,0.774,0.768
26000.000,0.778,0.767
26500.000,0.812,0.805
27000.000,0.786,0.784
27500.000,0.796,0.779
28000.000,0.754,0.744
28500.000,0.758,0.750
29000.000,0.776,0.760
29500.000,0.745,0.752
30000.000,0.777,0.772
30500.000,0.749,0.755
31000.000,0.760,0.764
31500.000,0.772,0.791
32000.000,0.756,0.768
32500.000,0.782,0.776
33000.000,0.760,0.768
33500.000,0.786,0.798
34000.000,0.750,0.762
34500.000,0.762,0.772
35000.000,0.756,0.766
35500.000,0.796,0.793
36000.000,0.783,0.792
36500.000,0.770,0.796
37000.000,0.761,0.776
37500.000,0.785,0.804
38000.000,0.786,0.794
38500.000,0.797,0.790
39000.000,0.787,0.774
39500.000,0.648,0.642
40000.000,0.688,0.702
40500.000,0.732,0.742
41000.000,0.774,0.775
41500.000,0.785,0.779
42000.000,0.803,0.777
42500.000,0.817,0.833
43000.000,0.782,0.823
43500.000,0.807,0.841
44000.000,0.816,0.816
44500.000,0.819,0.831
45000.000,0.846,0.848
45500.000,0.843,0.855
46000.000,0.832,0.832
46500.000,0.839,0.827
47000.000,0.824,0.829
47500.000,0.819,0.820
48000.000,0.790,0.801
48500.000,0.834,0.839
49000.000,0.835,0.837
49500.000,0.816,0.830
50000.000,0.810,0.809
50500.000,0.837,0.851
51000.000,0.813,0.815
51500.000,0.832,0.832
52000.000,0.830,0.827
52500.000,0.824,0.821
53000.000,0.805,0.797
53500.000,0.844,0.844
54000.000,0.824,0.818
54500.000,0.839,0.832
55000.000,0.792,0.811
55500.000,0.830,0.837
56000.000,0.815,0.819
56500.000,0.853,0.839
57000.000,0.822,0.825
57500.000,0.828,0.838
58000.000,0.821,0.812
58500.000,0.841,0.844
59000.000,0.812,0.810
59500.000,0.674,0.670
60000.000,0.655,0.676
60500.000,0.725,0.745
61000.000,0.703,0.721
61500.000,0.751,0.768
62000.000,0.767,0.780
62500.000,0.740,0.752
63000.000,0.752,0.751
63500.000,0.764,0.777
64000.000,0.778,0.787
64500.000,0.789,0.796
65000.000,0.762,0.758
65500.000,0.778,0.779
66000.000,0.764,0.770
66500.000,0.800,0.793
67000.000,0.786,0.773
67500.000,0.792,0.788
68000.000,0.750,0.748
68500.000,0.761,0.766
69000.000,0.768,0.772
69500.000,0.756,0.751
70000.000,0.763,0.764
70500.000,0.771,0.769
71000.000,0.763,0.765
71500.000,0.790,0.792
72000.000,0.772,0.765
72500.000,0.784,0.777
73000.000,0.767,0.763
73500.000,0.795,0.800
74000.000,0.757,0.762
74500.000,0.770,0.773
75000.000,0.751,0.765
75500.000,0.803,0.794
76000.000,0.786,0.790
76500.000,0.785,0.798
77000.000,0.776,0.771
77500.000,0.794,0.808
78000.000,0.789,0.805
78500.000,0.795,0.799
79000.000,0.776,0.790
79500.000,0.645,0.652
80000.000,0.683,0.718
80500.000,0.726,0.754
81000.000,0.776,0.795
81500.000,0.784,0.798
82000.000,0.809,0.817
82500.000,0.817,0.825
83000.000,0.822,0.822
83500.000,0.858,0.847
84000.000,0.821,0.813
84500.000,0.820,0.814
85000.000,0.847,0.835
85500.000,0.843,0.846
86000.000,0.826,0.840
86500.000,0.843,0.834
87000.000,0.824,0.826
87500.000,0.822,0.821
88000.000,0.805,0.809
88500.000,0.837,0.847
89000.000,0.824,0.829
89500.000,0.817,0.821
90000.000,0.803,0.805
90500.000,0.826,0.838
91000.000,0.805,0.814
91500.000,0.830,0.833
92000.000,0.832,0.823
92500.000,0.815,0.818
93000.000,0.807,0.803
93500.000,0.841,0.843
94000.000,0.826,0.829
94500.000,0.840,0.828
95000.000,0.795,0.811
95500.000,0.833,0.840
96000.000,0.813,0.833
96500.000,0.842,0.845
97000.000,0.817,0.834
97500.000,0.822,0.835
98000.000,0.823,0.826
98500.000,0.856,0.849
99000.000,0.817,0.822
