0.000,0.874,0.874,0.874,0.874,0.874,0.874
500.000,0.888,0.854,0.853,0.818,0.785,0.784
1000.000,0.867,0.834,0.835,0.836,0.802,0.768
1500.000,0.904,0.866,0.864,0.826,0.789,0.826
2000.000,0.893,0.861,0.862,0.860,0.828,0.796
2500.000,0.857,0.828,0.827,0.826,0.770,0.797
3000.000,0.903,0.868,0.869,0.834,0.834,0.799
3500.000,0.865,0.830,0.828,0.828,0.764,0.764
4000.000,0.876,0.841,0.840,0.805,0.806,0.806
4500.000,0.883,0.851,0.846,0.844,0.785,0.755
5000.000,0.857,0.828,0.827,0.798,0.798,0.798
5500.000,0.879,0.848,0.847,0.847,0.784,0.783
6000.000,0.846,0.815,0.815,0.785,0.786,0.728
6500.000,0.866,0.833,0.835,0.835,0.762,0.762
7000.000,0.870,0.839,0.837,0.806,0.806,0.745
7500.000,0.858,0.829,0.829,0.828,0.776,0.801
8000.000,0.813,0.784,0.786,0.757,0.756,0.699
8500.000,0.838,0.807,0.805,0.804,0.748,0.748
9000.000,0.867,0.833,0.833,0.799,0.799,0.730
9500.000,0.836,0.805,0.807,0.807,0.742,0.710
10000.000,0.837,0.810,0.808,0.781,0.781,0.755
10500.000,0.825,0.802,0.805,0.804,0.752,0.727
11000.000,0.830,0.800,0.799,0.770,0.770,0.712
11500.000,0.828,0.800,0.796,0.795,0.741,0.714
12000.000,0.803,0.778,0.779,0.753,0.752,0.702
12500.000,0.811,0.785,0.780,0.778,0.731,0.708
13000.000,0.825,0.802,0.803,0.777,0.775,0.728
13500.000,0.810,0.785,0.785,0.784,0.730,0.703
14000.000,0.837,0.810,0.811,0.783,0.784,0.730
14500.000,0.812,0.787,0.785,0.785,0.736,0.712
15000.000,0.849,0.822,0.825,0.793,0.793,0.738
15500.000,0.809,0.784,0.782,0.780,0.705,0.705
16000.000,0.816,0.794,0.794,0.768,0.768,0.726
16500.000,0.825,0.796,0.790,0.786,0.707,0.707
17000.000,0.788,0.764,0.756,0.732,0.732,0.691
17500.000,0.799,0.775,0.772,0.769,0.698,0.698
18000.000,0.818,0.789,0.787,0.759,0.732,0.708
18500.000,0.779,0.759,0.756,0.755,0.697,0.697
19000.000,0.800,0.778,0.776,0.752,0.729,0.709
19500.000,0.830,0.802,0.798,0.796,0.718,0.718
20000.000,0.786,0.765,0.764,0.739,0.716,0.694
20500.000,0.775,0.751,0.743,0.742,0.681,0.681
21000.000,0.800,0.776,0.774,0.749,0.725,0.703
21500.000,0.803,0.775,0.774,0.773,0.695,0.695
22000.000,0.802,0.777,0.776,0.750,0.730,0.712
22500.000,0.795,0.774,0.772,0.770,0.710,0.710
23000.000,0.810,0.792,0.787,0.768,0.768,0.733
23500.000,0.819,0.791,0.789,0.787,0.722,0.722
24000.000,0.797,0.774,0.771,0.746,0.704,0.704
24500.000,0.813,0.791,0.790,0.788,0.745,0.724
25000.000,0.796,0.778,0.774,0.749,0.707,0.707
25500.000,0.809,0.788,0.786,0.784,0.760,0.717
26000.000,0.799,0.769,0.767,0.744,0.723,0.702
26500.000,0.822,0.799,0.794,0.791,0.742,0.722
27000.000,0.843,0.816,0.815,0.785,0.732,0.732
27500.000,0.803,0.786,0.783,0.780,0.759,0.724
28000.000,0.810,0.784,0.779,0.757,0.736,0.715
28500.000,0.814,0.789,0.789,0.783,0.713,0.713
29000.000,0.844,0.817,0.813,0.790,0.765,0.743
29500.000,0.790,0.766,0.766,0.766,0.719,0.697
30000.000,0.799,0.773,0.774,0.748,0.723,0.701
30500.000,0.826,0.802,0.797,0.796,0.740,0.740
31000.000,0.825,0.799,0.798,0.774,0.749,0.725
31500.000,0.828,0.798,0.789,0.787,0.746,0.728
32000.000,0.801,0.775,0.773,0.753,0.753,0.712
32500.000,0.817,0.792,0.791,0.789,0.729,0.729
33000.000,0.837,0.807,0.800,0.773,0.749,0.726
33500.000,0.839,0.811,0.805,0.801,0.730,0.730
34000.000,0.837,0.810,0.810,0.785,0.785,0.734
